ITEM NO,ITEM DESCRIPTION,LOCATION,UOM,STD STOCK,LAST MONTH STOCK,ACTUAL,UNIT PRICE,AMOUNT
R1-1,Soldering Tip T12-D24,Rack 1,Pc,2,,16,"Rp 162,880","Rp 2,606,080"
R1-2,Soldering Tip 900M-T-4C,Rack 1,Pc,3,,153,"Rp 54,555","Rp 8,346,915"
R1-3,Bit Shock 3B1310 NAC,Rack 1,Pc,1,,6,"Rp 93,500","Rp 561,000"
R1-4,Hand Reamer Ø 10H7HSS,Rack 1,Pc,1,,2,"Rp 625,000","Rp 1,250,000"
R1-5,Bit Shock 3B1020 NAC,Rack 1,Pc,1,,7,"Rp 132,000","Rp 924,000"
R1-6,Bit Shock 3B0815 NAC,Rack 1,Pc,1,,3,"Rp 85,000","Rp 255,000"
R1-7,Mata Bor 3.1 Nachi,Rack 1,Pc,10,,50,"Rp 13,550","Rp 677,500"
R1-8,Driver Bit + 2x200G,Rack 1,Pc,1,,4,"Rp 23,650","Rp 94,600"
R1-9,Driver Bit + 2x100H,Rack 1,Pack,2,,3,"Rp 140,000","Rp 420,000"
R1-10,Mata Bor 6.0 Nachi,Rack 1,Pc,1,,0,"Rp 20,425",Rp -
R1-11,Isolasi Listrik Nitto 0.15mm 3/4in,Rack 1,Pc,2,,2,"Rp 8,000","Rp 16,000"
R1-12,Suntikan 10 cc / ml,Rack 1,Pc,4,,26,"Rp 37,500","Rp 975,000"
R1-13,Soldering Tip T18-D32,Rack 1,Pc,4,,1,"Rp 86,400","Rp 86,400"
R1-14,Soldering Tip T18-D24,Rack 1,Pc,4,,40,"Rp 86,400","Rp 3,456,000"
R1-15,Hand Reamer Ø 8mm,Rack 1,Pc,1,,2,"Rp 625,000","Rp 1,250,000"
R1-16,Tap M5x0.8,Rack 1,Pc,2,,9,"Rp 108,000","Rp 972,000"
R1-17,Shiny Stamp N58,Rack 1,Pc,2,,2,"Rp 68,000","Rp 136,000"
R1-18,Seal Tape ONDA,Rack 1,Pc,2,,1,"Rp 5,000","Rp 5,000"
R1-19,Shiny Stamp N48,Rack 1,Pc,2,,9,"Rp 48,000","Rp 432,000"
R1-20,Cleaning Sponge H333SP,Rack 1,Pc,10,,209,"Rp 5,540","Rp 1,157,860"
R1-21,Clamp Selang,Rack 1,Pc,5,,37,"Rp 2,000","Rp 74,000"
R1-22,Spring Stapler Packing,Rack 1,Pc,2,,10,"Rp 90,000","Rp 900,000"
R1-23,Ball Bearing Proj.Welding,Rack 1,Pack,2,,41,"Rp 30,000","Rp 1,230,000"
R1-24,Pisau Packing Tape,Rack 1,Pc,1,,11,"Rp 600,000","Rp 6,600,000"
R1-25,Magnet Driver Bit,Rack 1,Pc,4,,1,"Rp 45,000","Rp 45,000"
R1-26,Jarum Pengupas Ø 2.5 mm,Rack 1,Pc,1,,,"Rp 42,000",Rp -
R1-27,Driver Bit - Mini,Rack 1,Pc,5,,23,"Rp 13,000","Rp 299,000"
R1-28,Tap M8x1.25,Rack 1,Pc,1,,7,"Rp 175,000","Rp 1,225,000"
R1-29,Tap M4x0.7,Rack 1,Pc,3,,19,"Rp 90,000","Rp 1,710,000"
R1-30,Tap M6x1,Rack 1,Pc,2,,5,"Rp 120,000","Rp 600,000"
R1-31,Jarum Pengupas Ø 3 mm,Rack 1,Pc,1,,,"Rp 45,000",Rp -
R1-32,Soldering Bit Apollo SG-40GAV28,Rack 1,Pc,10,,30,"Rp 840,000","Rp 25,200,000"
R1-33,Tinta shachihata,Rack 1,Pc,1,,2,"Rp 245,000","Rp 490,000"
R1-34,Heater sealer,Rack 1,Pc,4,,7,"Rp 17,500","Rp 122,500"
R1-35,Kontak tusuk,Rack 1,Pc,2,,0,"Rp 15,000",Rp -
R1-36,Rumah kontak 2 socket,Rack 1,Pc,1,,8,"Rp 15,000","Rp 120,000"
R1-37,Rumah kontak 4 socket,Rack 1,Pc,1,,15,"Rp 25,000","Rp 375,000"
R1-38,Spring Balancer TW-0,Rack 1,Pc,1,,0,"Rp 388,500",Rp -
R1-39,Solder pot 96-2,Rack 1,Pc,1,,1,"Rp 1,300,000","Rp 1,300,000"
R1-40,Tempat thinner ukuran kecil,Rack 1,Pc,1,,,"Rp 7,000",Rp -
R1-41,Tempat thinner ukuran besar,Rack 1,Pc,1,,,"Rp 15,000",Rp -
R1-42,Hoist switch HY-1026 SBBB,Rack 1,Pc,1,,1,"Rp 750,000","Rp 750,000"
R1-43,Hoist switch HY-1024 SBB,Rack 1,Pc,1,,,"Rp 575,000",Rp -
R1-44,Hoist switch HY-1022 SB,Rack 1,Pc,1,,1,"Rp 345,000","Rp 345,000"
R1-45,Thermal overload TH-N20KP,Rack 1,Pc,1,,1,"Rp 475,000","Rp 475,000"
R1-46,Thermal overload TR-ON/3,Rack 1,Pc,1,,1,"Rp 510,000","Rp 510,000"
R1-47,Magnetic contactor S-N80 110V,Rack 1,Pc,1,,1,"Rp 1,025,000","Rp 1,025,000"
R1-48,Stop Contact HY-510,Rack 1,Pc,1,,1,"Rp 340,000","Rp 340,000"
R1-49,Magnetic contactor S-N65 110V,Rack 1,Pc,1,,,"Rp 770,000",Rp -
R1-50,Magnetic contactor SN50 220V,Rack 1,Pc,1,,1,"Rp 675,000","Rp 675,000"
R1-51,MCB EZC100F3015 15A,Rack 1,Pc,1,,3,"Rp 400,000","Rp 1,200,000"
R1-52,MCB NF63-CW 3P 25A,Rack 1,Pc,1,,3,"Rp 275,000","Rp 825,000"
R1-53,Magnetic contactor ST10-220V,Rack 1,Pc,1,,,"Rp 475,000",Rp -
R1-54,Magnetic contactor ST10-380V,Rack 1,Pc,1,,,"Rp 475,000",Rp -
R1-55,Magnetic contactor ST10-110V,Rack 1,Pc,1,,,"Rp 475,000",Rp -
R1-56,Thermal overlload Relay LRD14,Rack 1,Pc,1,,2,"Rp 190,000","Rp 380,000"
R1-57,Thermal overlload Relay LRD22,Rack 1,Pc,1,,2,"Rp 190,000","Rp 380,000"
R1-58,Thermal overlload Relay LRD35,Rack 1,Pc,1,,1,"Rp 190,000","Rp 190,000"
R1-59,Magnetic contactor SC-6N 110V,Rack 1,Pc,1,,1,"Rp 4,500,000","Rp 4,500,000"
R1-60,Magnetic contactor SC-05 220V,Rack 1,Pc,1,,1,"Rp 475,000","Rp 475,000"
R1-61,Magnetic contactor SRCa50-3F 110V,Rack 1,Pc,1,,1,"Rp 254,000","Rp 254,000"
R1-62,Magnetic contactor SRC3938-06M 110V,Rack 1,Pc,1,,,"Rp 275,000",Rp -
R1-63,Thermal overload TH-K20TA,Rack 1,Pc,1,,2,"Rp 350,000","Rp 700,000"
R1-64,Magnetic contactor SC-5-1 220V,Rack 1,Pc,1,,,"Rp 441,000",Rp -
R1-65,Saklar lampu 2 kontak,Rack 1,Pc,1,,1,"Rp 35,000","Rp 35,000"
R1-66,Saklar lampu 1 kontak,Rack 1,Pc,1,,,"Rp 25,000",Rp -
R1-67,Inspection jig KYOEI,Rack 1,Pc,1,,,"Rp 400,000",Rp -
R1-68,Kontak tusuk 3 pin,Rack 1,Pc,1,,,"Rp 50,000",Rp -
R1-69,Stamp Pad,Rack 1,Pc,1,,3,"Rp 40,000","Rp 120,000"
R1-70,MCB 6A 2 Phase,Rack 1,Pc,1,,,"Rp 120,000",Rp -
R2-1,Kape,Rack 2,Pc,2,,10,"Rp 15,000","Rp 150,000"
R2-2,"Kuas 1""",Rack 2,Pc,3,,11,"Rp 5,000","Rp 55,000"
R2-3,"Kuas 2""",Rack 2,Pc,3,,4,"Rp 7,140","Rp 28,560"
R2-4,"Kuas 3""",Rack 2,Pc,3,,5,"Rp 12,000","Rp 60,000"
R2-5,Kuas lukis 679,Rack 2,Pc,3,,11,"Rp 8,000","Rp 88,000"
R2-6,Selongsong shaft Ø 20,Rack 2,Pc,1,,1,"Rp 85,000","Rp 85,000"
R2-7,Lem besi,Rack 2,Pc,2,,13,"Rp 54,000","Rp 702,000"
R2-8,Nozzle Glue Coating,Rack 2,Pack,2,,12,"Rp 850,000","Rp 10,200,000"
R2-9,Keramic Diecast,Rack 2,Pc,1,,2,"Rp 550,000","Rp 1,100,000"
R2-10,Gear Autolathe,Rack 2,Pc,1,,1,"Rp 2,300,000","Rp 2,300,000"
R2-11,Cutter Blade SKB-2,Rack 2,Pc,2,,5,"Rp 110,000","Rp 550,000"
R2-12,Cutter Blade SKB-10,Rack 2,Pc,2,,24,"Rp 115,000","Rp 2,760,000"
R2-13,Selongsong shaft Ø 8,Rack 2,Pc,1,,1,"Rp 78,000","Rp 78,000"
R2-14,Hydro-Speed regulator,Rack 2,Pc,1,,1,"Rp 4,900,000","Rp 4,900,000"
R2-15,Auburn flame rod ES-FRS-4-6,Rack 2,Pc,1,,1,"Rp 1,700,000","Rp 1,700,000"
R2-16,Bearing 6004ZZ,Rack 2,Pc,1,,3,"Rp 34,850","Rp 104,550"
R2-17,Bearing HK 2030,Rack 2,Pc,1,,4,"Rp 47,000","Rp 188,000"
R2-18,Sensor arm Diecast,Rack 2,Pc,1,,,"Rp 1,200,000",Rp -
R2-19,Bearing 6310 .2RSR.C3,Rack 2,Pc,1,,2,"Rp 195,000","Rp 390,000"
A2-27,Bearing 2209,Rack 2,Pc,2,,1,"Rp 275,000","Rp 275,000"
R2-21,Bearing 6309 ZZ,Rack 2,Pc,1,,2,"Rp 150,000","Rp 300,000"
R2-22,Bearing 6308 ZZ,Rack 2,Pc,1,,2,"Rp 128,000","Rp 256,000"
R2-23,Bearing 7002,Rack 2,Pc,1,,3,"Rp 650,000","Rp 1,950,000"
R2-24,Bearing 6804 ZZ,Rack 2,Pc,1,,3,"Rp 20,200","Rp 60,600"
R2-25,Bearing 6204 ZZ,Rack 2,Pc,2,,6,"Rp 55,000","Rp 330,000"
R2-26,Bearing 6302 ZZ,Rack 2,Pc,1,,8,"Rp 50,000","Rp 400,000"
R2-27,Bearing NAX-1223Z,Rack 2,Pc,2,,3,"Rp 275,000","Rp 825,000"
R2-28,Bearing 30208,Rack 2,Pc,1,,1,"Rp 72,500","Rp 72,500"
R2-29,Bearing 6008 LLU,Rack 2,Pc,1,,3,"Rp 70,000","Rp 210,000"
R2-30,Bearing UCP 204J,Rack 2,Pc,2,,2,"Rp 169,575","Rp 339,150"
R2-31,Bearing UCF 204J,Rack 2,Pc,1,,,"Rp 141,000",Rp -
R2-32,Bearing 6000 LUU,Rack 2,Pc,1,,17,"Rp 24,000","Rp 408,000"
R2-33,Bearing 6001 ZZ,Rack 2,Pc,2,,22,"Rp 33,000","Rp 726,000"
R2-34,Bearing UCT 204J,Rack 2,Pc,1,,2,"Rp 350,450","Rp 700,900"
R2-35,Bearing 6301 ZZ,Rack 2,Pc,1,,6,"Rp 26,500","Rp 159,000"
R2-36,Bearing BWC - 13168,Rack 2,Pc,1,,1,"Rp 210,000","Rp 210,000"
R2-37,Bearing 6305,Rack 2,Pc,1,,14,"Rp 93,000","Rp 1,302,000"
R2-38,Bearing 6202 ZZ,Rack 2,Pc,1,,3,"Rp 47,500","Rp 142,500"
R2-39,Bearing 6205 ZZ,Rack 2,Pc,1,,14,"Rp 60,000","Rp 840,000"
R2-40,Bearing 6007 ZZ,Rack 2,Pc,1,,4,"Rp 57,000","Rp 228,000"
R2-41,Bearing 6304 ZZ,Rack 2,Pc,1,,2,"Rp 55,000","Rp 110,000"
R2-42,Bearing 6206 ZZ,Rack 2,Pc,1,,4,"Rp 57,950","Rp 231,800"
R2-43,Bearing 6203 ZZ,Rack 2,Pc,1,,5,"Rp 70,000","Rp 350,000"
R2-44,Bearing 6200 ZZ,Rack 2,Pc,1,,10,"Rp 30,000","Rp 300,000"
R2-45,Bearing IKO CF6 BUU,Rack 2,Pc,1,,3,"Rp 66,500","Rp 199,500"
R2-46,Bearing 30204,Rack 2,Pc,1,,4,"Rp 110,000","Rp 440,000"
R2-47,Bearing 7007 FY,Rack 2,Pc,1,,2,"Rp 45,000","Rp 90,000"
R2-48,Bearing 6903 JRXZZ,Rack 2,Pc,1,,5,"Rp 70,000","Rp 350,000"
R2-49,Bearing 6306,Rack 2,Pc,1,,2,"Rp 215,000","Rp 430,000"
R2-50,Bearing 6003 ZZ,Rack 2,Pc,3,,11,"Rp 60,000","Rp 660,000"
R2-51,Bearing IKO CF10BUU,Rack 2,Pc,1,,3,"Rp 175,000","Rp 525,000"
R2-52,Bearing 3207,Rack 2,Pc,1,,4,"Rp 136,000","Rp 544,000"
R2-53,Bearing 6307 .2RSR,Rack 2,Pc,2,,5,"Rp 91,000","Rp 455,000"
R2-54,Bearing 6311 .2RSR,Rack 2,Pc,2,,2,"Rp 220,000","Rp 440,000"
R2-55,Bearing 6006 ZZ,Rack 2,Pc,1,,3,"Rp 55,000","Rp 165,000"
R2-56,Bearing HMK 1015,Rack 2,Pc,2,,10,"Rp 50,000","Rp 500,000"
R2-57,Bearing 6201 ZZ,Rack 2,Pc,2,,9,"Rp 21,000","Rp 189,000"
R2-58,Bearing 6002 ZZ,Rack 2,Pc,2,,5,"Rp 40,000","Rp 200,000"
R2-59,Bearing 6800 ZZ,Rack 2,Pc,2,,10,"Rp 42,000","Rp 420,000"
R2-60,Bearing HMK 1215,Rack 2,Pc,2,,10,"Rp 38,000","Rp 380,000"
R2-61,Bearing HMK 1012,Rack 2,Pc,2,,6,"Rp 50,000","Rp 300,000"
R2-62,Bearing 6207 ZZ,Rack 2,Pc,1,,2,"Rp 97,500","Rp 195,000"
R2-63,Sensor Tungku Diecast,Rack 2,Pc,1,,4,"Rp 1,100,000","Rp 4,400,000"
R2-64,Misumi MBB 20-50-0,Rack 2,Pc,2,,2,"Rp 300,000","Rp 600,000"
R2-65,Tsugami Ø 7.4xMod0.6xIN(R),Rack 2,Pc,1,,,"Rp 16,655,200",Rp -
R2-66,Tsugami Ø M8xP1.25x40,Rack 2,Pc,1,,2,"Rp 7,433,800","Rp 14,867,600"
R2-67,Tsugami Ø 7.6xMod0.6x1,Rack 2,Pc,1,,1,"Rp 14,687,600","Rp 14,687,600"
R2-68,Regulator Gas Diecast,Rack 2,Pc,1,,4,"Rp 475,000","Rp 1,900,000"
R2-69,Bearing 6303 ZZ,Rack 2,Btl,1,,9,"Rp 85,000","Rp 765,000"
R2-70,Tripler Oil Cleaner,Rack 2,Pc,1,,,"Rp 750,000",Rp -
R2-71,Misumi MBB 25-60-0,Rack 2,Pc,2,,5,"Rp 125,000","Rp 625,000"
R2-72,Kabel sensor Arm Diecast,Rack 2,Mtr,1,,10,"Rp 12,000","Rp 120,000"
R2-73,Rush wheel eraser 553W,Rack 2,Pc,6,,,"Rp 380,000",Rp -
R2-74,Small siphon pump,Rack 2,Pc,1,,1,"Rp 45,000","Rp 45,000"
R2-75,Blade siroco fan Diecast,Rack 2,Pc,1,,,"Rp 450,000",Rp -
R2-76,Dai spring 40-60,Rack 2,Pc,2,,0,"Rp 200,000",Rp -
R2-77,Bearing 629ZZ,Rack 2,Pc,2,,2,"Rp 15,000","Rp 30,000"
R2-78,Cutter SK-4,Rack 2,Pc,1,,15,"Rp 50,000","Rp 750,000"
R2-79,Bearing 7010 CTYN,Rack 2,Pc,1,,20,"Rp 750,000","Rp 15,000,000"
R3-1,Tang potong YN-3,Rack 3,Pc,1,,12,"Rp 250,000","Rp 3,000,000"
R3-2,Stainless hardened shinwa,Rack 3,Pc,1,,2,"Rp 27,500","Rp 55,000"
R3-3,Stopper penahan film coil placer,Rack 3,Pc,1,,3,"Rp 75,000","Rp 225,000"
R3-4,Baut rotary coil placer,Rack 3,Pc,1,,,"Rp 125,000",Rp -
R3-5,Bearing pengait gear coil placer,Rack 3,Pc,1,,,"Rp 60,000",Rp -
R3-6,Nozzle benang mesin lacing,Rack 3,Pc,1,,,"Rp 630,000",Rp -
R3-7,Indicator lamp AD22-22DS Red 220V,Rack 3,Pc,5,,21,"Rp 22,000","Rp 462,000"
R3-8,Indicator lamp AD22-22DS Green 220V,Rack 3,Pc,5,,6,"Rp 22,000","Rp 132,000"
R3-9,Indicator lamp AD22-22DS Yellow 220V,Rack 3,Pc,5,,7,"Rp 22,000","Rp 154,000"
R3-10,Indicator lamp AD22-22DS Red 24V,Rack 3,Pc,5,,6,"Rp 22,000","Rp 132,000"
R3-11,Indicator lamp AD22-22DS Green 24V,Rack 3,Pc,5,,12,"Rp 22,000","Rp 264,000"
R3-12,Buzzer AD22-22MSD 220V,Rack 3,Pc,5,,7,"Rp 45,000","Rp 315,000"
R3-13,Gergaji besi sandflex,Rack 3,Pc,1,,,"Rp 25,000",Rp -
R3-14,Clamp pusher coil placer,Rack 3,Pc,1,,,"Rp 45,000",Rp -
R3-15,Jarum benang mesin lacing,Rack 3,Pc,1,,,"Rp 540,000",Rp -
R3-16,Oil can 500cc,Rack 3,Pc,1,,3,"Rp 47,500","Rp 142,500"
R3-17,Coupler 20 PF 2 Output,Rack 3,Pc,1,,2,"Rp 478,500","Rp 957,000"
R3-18,Sower toilet,Rack 3,Pc,1,,1,"Rp 210,000","Rp 210,000"
R3-19,Gunting kawat MCC,Rack 3,Pc,1,,1,"Rp 275,600","Rp 275,600"
R3-20,Air Duster Gun,Rack 3,Pc,1,,,"Rp 175,000",Rp -
R3-21,Optional blade for air Nipper AR8P 1.25,Rack 3,Pc,1,,3,"Rp 350,000","Rp 1,050,000"
R3-22,Finger stall M,Rack 3,Pc,300,,300,Rp 840,"Rp 252,000"
R3-23,Nile air tools MR30A,Rack 3,Pc,1,,2,"Rp 2,500,000","Rp 5,000,000"
R3-24,Srew driver US-6W,Rack 3,Pc,1,,3,"Rp 4,950,000","Rp 14,850,000"
R3-25,Electric srewdriver DLV8134-MKE,Rack 3,Pc,1,,3,"Rp 3,300,000","Rp 9,900,000"
R3-26,Belt rotor cutting 1,Rack 3,Pc,5,,5,"Rp 175,000","Rp 875,000"
R3-27,Belt rotor cutting 2,Rack 3,Pc,5,,,"Rp 185,000",Rp -
R3-28,Box tombol Ganda,Rack 3,Pc,1,,,"Rp 260,000",Rp -
R3-29,Box tombol Tunggal,Rack 3,Pc,1,,7,"Rp 115,000","Rp 805,000"
R3-30,HAKKO 96 Solder Pot,Rack 3,Pc,1,,3,"Rp 1,100,000","Rp 3,300,000"
R3-31,Soldering station FX888D,Rack 3,Pc,1,,,"Rp 1,750,000",Rp -
R3-32,Indicator lamp DR22DOL Red 110V,Rack 3,Pc,2,,8,"Rp 45,000","Rp 360,000"
R3-33,Finger stall S,Rack 3,Pc,300,,600,Rp 784,"Rp 470,400"
R3-34,Kran air,Rack 3,Pc,1,,2,"Rp 75,000","Rp 150,000"
R3-35,MCB 100A,Rack 3,Pc,1,,,"Rp 781,000",Rp -
